101
81
T [GeV]		muB [GeV]		c3_T4 [fm^3/GeV * GeV^4]
0.160000		-0.660000		-0.012934
0.161000		-0.660000		-0.012649
0.162000		-0.660000		-0.012373
0.163000		-0.660000		-0.012104
0.164000		-0.660000		-0.011844
0.165000		-0.660000		-0.011592
0.166000		-0.660000		-0.011347
0.167000		-0.660000		-0.011109
0.168000		-0.660000		-0.010878
0.169000		-0.660000		-0.010654
0.170000		-0.660000		-0.010436
0.171000		-0.660000		-0.010224
0.172000		-0.660000		-0.010018
0.173000		-0.660000		-0.009818
0.174000		-0.660000		-0.009623
0.175000		-0.660000		-0.009434
0.176000		-0.660000		-0.009250
0.177000		-0.660000		-0.009070
0.178000		-0.660000		-0.008896
0.179000		-0.660000		-0.008726
0.180000		-0.660000		-0.008561
0.181000		-0.660000		-0.008399
0.182000		-0.660000		-0.008243
0.183000		-0.660000		-0.008090
0.184000		-0.660000		-0.007941
0.185000		-0.660000		-0.007795
0.186000		-0.660000		-0.007654
0.187000		-0.660000		-0.007515
0.188000		-0.660000		-0.007381
0.189000		-0.660000		-0.007249
0.190000		-0.660000		-0.007121
0.191000		-0.660000		-0.006996
0.192000		-0.660000		-0.006874
0.193000		-0.660000		-0.006755
0.194000		-0.660000		-0.006638
0.195000		-0.660000		-0.006524
0.196000		-0.660000		-0.006413
0.197000		-0.660000		-0.006305
0.198000		-0.660000		-0.006199
0.199000		-0.660000		-0.006095
0.200000		-0.660000		-0.005994
0.100000		-0.640000		-0.090281
0.101000		-0.640000		-0.086789
0.102000		-0.640000		-0.083458
