101
81
T [GeV]		muB [GeV]		F_over_T [fm^-1 / GeV]
0.149000		-0.700000		-0.177494
0.150000		-0.700000		-0.177371
0.151000		-0.700000		-0.177261
0.152000		-0.700000		-0.177163
0.153000		-0.700000		-0.177078
0.154000		-0.700000		-0.177004
0.155000		-0.700000		-0.176943
0.156000		-0.700000		-0.176892
0.157000		-0.700000		-0.176853
0.158000		-0.700000		-0.176825
0.159000		-0.700000		-0.176807
0.160000		-0.700000		-0.176799
0.161000		-0.700000		-0.176801
0.162000		-0.700000		-0.176813
0.163000		-0.700000		-0.176835
0.164000		-0.700000		-0.176865
0.165000		-0.700000		-0.176905
0.166000		-0.700000		-0.176953
0.167000		-0.700000		-0.177010
0.168000		-0.700000		-0.177074
0.169000		-0.700000		-0.177147
0.170000		-0.700000		-0.177227
0.171000		-0.700000		-0.177315
0.172000		-0.700000		-0.177409
0.173000		-0.700000		-0.177511
0.174000		-0.700000		-0.177620
0.175000		-0.700000		-0.177735
0.176000		-0.700000		-0.177856
0.177000		-0.700000		-0.177984
0.178000		-0.700000		-0.178117
0.179000		-0.700000		-0.178256
0.180000		-0.700000		-0.178400
0.181000		-0.700000		-0.178550
0.182000		-0.700000		-0.178705
0.183000		-0.700000		-0.178864
0.184000		-0.700000		-0.179029
0.185000		-0.700000		-0.179198
0.186000		-0.700000		-0.179371
0.187000		-0.700000		-0.179548
0.188000		-0.700000		-0.179730
0.189000		-0.700000		-0.179915
0.190000		-0.700000		-0.180104
0.191000		-0.700000		-0.180296
0.192000		-0.700000		-0.180492
0.193000		-0.700000		-0.180691
0.194000		-0.700000		-0.180893
0.195000		-0.700000		-0.181098
0.196000		-0.700000		-0.181306
0.197000		-0.700000		-0.181517
0.198000		-0.700000		-0.181730
0.199000		-0.700000		-0.181945
0.200000		-0.700000		-0.182162
0.100000		-0.680000		-0.204878
0.101000		-0.680000		-0.203816
0.102000		-0.680000		-0.202774
0.103000		-0.680000		-0.201753
0.104000		-0.680000		-0.200752
0.105000		-0.680000		-0.199773
0.106000		-0.680000		-0.198814
0.107000		-0.680000		-0.197878
0.108000		-0.680000		-0.196963
0.109000		-0.680000		-0.196070
0.110000		-0.680000		-0.195198
0.111000		-0.680000		-0.194349
0.112000		-0.680000		-0.193522
0.113000		-0.680000		-0.192716
0.114000		-0.680000		-0.191933
0.115000		-0.680000		-0.191172
0.116000		-0.680000		-0.190432
0.117000		-0.680000		-0.189714
0.118000		-0.680000		-0.189018
0.119000		-0.680000		-0.188344
0.120000		-0.680000		-0.187691
0.121000		-0.680000		-0.187059
0.122000		-0.680000		-0.186448
0.123000		-0.680000		-0.185859
0.124000		-0.680000		-0.185289
0.125000		-0.680000		-0.184741
0.126000		-0.680000		-0.184213
0.127000		-0.680000		-0.183704
0.128000		-0.680000		-0.183216
0.129000		-0.680000		-0.182746
0.130000		-0.680000		-0.182296
0.131000		-0.680000		-0.181866
0.132000		-0.680000		-0.181453
0.133000		-0.680000		-0.181059
0.134000		-0.680000		-0.180683
0.135000		-0.680000		-0.180325
0.136000		-0.680000		-0.179984
0.137000		-0.680000		-0.179661
0.138000		-0.680000		-0.179354
0.139000		-0.680000		-0.179064
0.140000		-0.680000		-0.178790
0.141000		-0.680000		-0.178532
0.142000		-0.680000		-0.178290
0.143000		-0.680000		-0.178062
0.144000		-0.680000		-0.177850
0.145000		-0.680000		-0.177652
0.146000		-0.680000		-0.177469
0.147000		-0.680000		-0.177300
0.148000		-0.680000		-0.177144
0.149000		-0.680000		-0.177002
0.150000		-0.680000		-0.176872
0.151000		-0.680000		-0.176756
0.152000		-0.680000		-0.176652
0.153000		-0.680000		-0.176560
0.154000		-0.680000		-0.176480
0.155000		-0.680000		-0.176411
0.156000		-0.680000		-0.176354
0.157000		-0.680000		-0.176308
0.158000		-0.680000		-0.176272
0.159000		-0.680000		-0.176247
0.160000		-0.680000		-0.176232
0.161000		-0.680000		-0.176226
0.162000		-0.680000		-0.176231
0.163000		-0.680000		-0.176244
0.164000		-0.680000		-0.176267
0.165000		-0.680000		-0.176298
0.166000		-0.680000		-0.176338
0.167000		-0.680000		-0.176386
0.168000		-0.680000		-0.176442
0.169000		-0.680000		-0.176506
0.170000		-0.680000		-0.176577
0.171000		-0.680000		-0.176656
0.172000		-0.680000		-0.176741
0.173000		-0.680000		-0.176834
0.174000		-0.680000		-0.176933
0.175000		-0.680000		-0.177039
0.176000		-0.680000		-0.177150
0.177000		-0.680000		-0.177268
0.178000		-0.680000		-0.177391
0.179000		-0.680000		-0.177520
0.180000		-0.680000		-0.177654
0.181000		-0.680000		-0.177794
0.182000		-0.680000		-0.177938
0.183000		-0.680000		-0.178087
0.184000		-0.680000		-0.178241
0.185000		-0.680000		-0.178399
0.186000		-0.680000		-0.178562
0.187000		-0.680000		-0.178728
0.188000		-0.680000		-0.178898
0.189000		-0.680000		-0.179072
0.190000		-0.680000		-0.179250
0.191000		-0.680000		-0.179431
0.192000		-0.680000		-0.179616
0.193000		-0.680000		-0.179803
0.194000		-0.680000		-0.179993
0.195000		-0.680000		-0.180187
0.196000		-0.680000		-0.180383
0.197000		-0.680000		-0.180581
0.198000		-0.680000		-0.180782
0.199000		-0.680000		-0.180985
0.200000		-0.680000		-0.181191
0.100000		-0.660000		-0.204969
0.101000		-0.660000		-0.203900
0.102000		-0.660000		-0.202851
0.103000		-0.660000		-0.201822
0.104000		-0.660000		-0.200814
0.105000		-0.660000		-0.199825
0.106000		-0.660000		-0.198858
0.107000		-0.660000		-0.197912
0.108000		-0.660000		-0.196987
0.109000		-0.660000		-0.196084
0.110000		-0.660000		-0.195203
0.111000		-0.660000		-0.194343
0.112000		-0.660000		-0.193505
0.113000		-0.660000		-0.192689
0.114000		-0.660000		-0.191895
0.115000		-0.660000		-0.191123
0.116000		-0.660000		-0.190373
