101
81
T [GeV]		muB [GeV]		betabulk_over_T4 [fm^-4 / GeV^4]
0.179000		-0.660000		266.284048
0.180000		-0.660000		269.659703
0.181000		-0.660000		273.046987
0.182000		-0.660000		276.445614
0.183000		-0.660000		279.855302
0.184000		-0.660000		283.275764
0.185000		-0.660000		286.706716
0.186000		-0.660000		290.147876
0.187000		-0.660000		293.598960
0.188000		-0.660000		297.059685
0.189000		-0.660000		300.529769
0.190000		-0.660000		304.008931
0.191000		-0.660000		307.496891
0.192000		-0.660000		310.993370
0.193000		-0.660000		314.498089
0.194000		-0.660000		318.010772
0.195000		-0.660000		321.531141
0.196000		-0.660000		325.058923
0.197000		-0.660000		328.593843
0.198000		-0.660000		332.135630
0.199000		-0.660000		335.684012
0.200000		-0.660000		339.238721
0.100000		-0.640000		48.480990
0.101000		-0.640000		50.011724
0.102000		-0.640000		51.567481
0.103000		-0.640000		53.148279
0.104000		-0.640000		54.754131
0.105000		-0.640000		56.385049
0.106000		-0.640000		58.041040
0.107000		-0.640000		59.722107
0.108000		-0.640000		61.428248
0.109000		-0.640000		63.159459
0.110000		-0.640000		64.915728
0.111000		-0.640000		66.697042
0.112000		-0.640000		68.503381
0.113000		-0.640000		70.334720
0.114000		-0.640000		72.191031
0.115000		-0.640000		74.072280
0.116000		-0.640000		75.978427
0.117000		-0.640000		77.909429
0.118000		-0.640000		79.865237
0.119000		-0.640000		81.845797
0.120000		-0.640000		83.851050
0.121000		-0.640000		85.880932
0.122000		-0.640000		87.935375
0.123000		-0.640000		90.014304
0.124000		-0.640000		92.117641
0.125000		-0.640000		94.245303
0.126000		-0.640000		96.397200
0.127000		-0.640000		98.573238
0.128000		-0.640000		100.773320
0.129000		-0.640000		102.997343
0.130000		-0.640000		105.245197
0.131000		-0.640000		107.516769
0.132000		-0.640000		109.811943
0.133000		-0.640000		112.130594
0.134000		-0.640000		114.472596
0.135000		-0.640000		116.837817
0.136000		-0.640000		119.226119
0.137000		-0.640000		121.637362
0.138000		-0.640000		124.071398
0.139000		-0.640000		126.528078
0.140000		-0.640000		129.007245
0.141000		-0.640000		131.508741
0.142000		-0.640000		134.032400
0.143000		-0.640000		136.578056
0.144000		-0.640000		139.145533
0.145000		-0.640000		141.734657
0.146000		-0.640000		144.345244
0.147000		-0.640000		146.977110
0.148000		-0.640000		149.630066
0.149000		-0.640000		152.303917
0.150000		-0.640000		154.998467
0.151000		-0.640000		157.713514
0.152000		-0.640000		160.448854
